there doub, -187.11757863363727, -188.55047548020713, P
remarkable, -206.62045042727374, -210.91805974069982, P
oh yeah su, -93.01852148816707, -92.4440043300377, N
best quali, -100.46300041272274, -104.64947693635715, P
in aldi ev, -236.25296690898753, -224.6184982590872, N
retail sto, -143.26445261908395, -143.43229613194123, P
didn think, -182.24343048030912, -182.10151710671258, N
covid may , -64.64963633489137, -59.51809529444574, N
i work sto, -206.30288626189946, -215.14186725017922, P
panic butt, -37.714490354347326, -34.95271358525288, N
could surv, -154.84712945523498, -152.75844088346318, N
me go groc, -189.1688315456698, -191.51594363028204, P
can find d, -97.55011080230642, -99.40159142431158, P
this could, -130.89964110477803, -125.22814238809381, N
so we go g, -162.37593303429549, -161.6642625544638, N
if great r, -102.13593942403482, -108.53902441362771, P
supermarke, -47.60079982480576, -47.15095846894998, N
what wrong, -189.98301043713562, -181.9914153379725, N
safe onlin, -56.71800187427059, -59.63299912006673, P
the govern, -136.61700526411508, -134.0001399424797, N
just clear, -77.73030683412206, -74.96985892105694, N
if would l, -215.8791359824955, -217.68453039025627, P
tip germop, -96.27873900023083, -101.22569921864242, P
no wipe go, -119.49923200917124, -115.73481417402209, N
even thoug, -163.2594683069762, -167.14301394494305, P
in light c, -165.62580391894227, -174.66976416106692, P
two import, -169.52667638597987, -169.27357315844148, N
the pandem, -205.52257365528385, -197.94952553620323, N
no big nam, -71.48125531265076, -74.3067557124217, P
go school , -102.75294117731038, -101.37164010956913, N
my questio, -154.62955759594135, -154.81999075005928, P
virus atta, -64.46741859658394, -61.25778537619125, N
your rizq , -144.88061136134112, -151.933635627337, P
look shopp, -124.22440140741118, -124.2356882298732, P
nhl season, -129.8596980998761, -129.1584833492169, N
the corona, -144.88143615897113, -143.10832022804672, N
hi please , -145.71068856320574, -150.988646695136, P
add reserv, -142.90765470186804, -144.69993306098164, P
food bank , -72.9352013184631, -72.07558761282341, N
this month, -93.43266712005726, -92.13183189075377, N
the situat, -118.23141485045679, -121.80908382640429, P
our chief , -90.14092974665158, -85.76842080653937, N
we work ha, -136.08500701518668, -137.77215065706858, P
the people, -109.96274230088908, -109.67318621005002, N
how many w, -197.44420470141762, -195.72730695233628, N
this panic, -165.48681378255776, -151.96138593081778, N
one month , -167.39836210845428, -173.3946390952193, P
have trip , -223.73533257252106, -224.98646773754925, P
nyc water , -266.19967221331837, -259.43003060249805, N
son law te, -137.97695185713854, -135.55446340942348, N
off shoppi, -106.04228038880416, -107.03752892759123, P
no panic b, -116.04336160029413, -112.16034104034335, N
dont forge, -168.83837445337485, -170.83775776854768, P
question b, -149.52210027278073, -154.2223224067955, P
delivery o, -126.561299139752, -125.71287499620253, N
major u re, -74.65037614531415, -74.22855331320419, N
seeking ev, -54.16071249473603, -58.05130569908674, P
the pandem, -181.63254208082947, -176.74716020936143, N
hey fun fa, -145.35382382646847, -139.3576400570972, N
food shopp, -122.77458289526118, -117.67740002516197, N
this weird, -200.21188232276123, -196.37637052217895, N
empty shel, -40.77827443726367, -39.64340072332745, N
glad every, -160.43387678689623, -170.86680590914736, P
live lindl, -187.0601286029607, -192.15402404887115, P
walmart co, -150.40882575488615, -145.89224715307336, N
new podcas, -127.19039231267088, -123.59376038024172, N
there pand, -139.76280046038016, -136.25444993357755, N
after brea, -122.22422968271384, -113.91305888328004, N
if someone, -83.02608418535016, -79.68312295874559, N
